year,day,count
2015,Friday,211
2015,Monday,138
2015,Saturday,217
2015,Sunday,218
2015,Thursday,230
2015,Tuesday,156
2015,Wednesday,189
2018,Friday,33
2018,Monday,11
2018,Saturday,31
2018,Sunday,29
2018,Thursday,23
2018,Tuesday,13
2018,Wednesday,13
2019,Friday,101
2019,Monday,62
2019,Saturday,77
2019,Sunday,57
2019,Thursday,75
2019,Tuesday,62
2019,Wednesday,62
2020,Friday,155
2020,Monday,77
2020,Saturday,152
2020,Sunday,120
2020,Thursday,148
2020,Tuesday,92
2020,Wednesday,103
2021,Friday,174
2021,Monday,145
2021,Saturday,151
2021,Sunday,163
2021,Thursday,200
2021,Tuesday,141
2021,Wednesday,178